"","x"
"1","<U+0001F31B> No queríamos terminar el día sin avisarte de que tienes que reservar la mañana del sábado. 

 <U+0001F34A>Acompáñanos en el encuentro Cs #ParaQueGanemosTodos14F con @Carrizosacarlos, @InesArrimadas, #FrancescDeCarreras y #FélixAzúa

<U+0001F4BB>Podrás seguirlo aquí https://t.co/tKw9yzqSdT https://t.co/uT36gQyJ9Q"
"2","<U+0001F3B6> Tras nuestro acto sobre propuestas de apoyo a la industria de la música, hemos presentado nuestra canción de campaña: ‘La suerte de ser libres’. Un tema de @JGToni con la participación de @BalEdmundo, @joansabadell y @ToniValenzuela. 

#ParaQueGaneLaMúsica <U+0001F3B8> https://t.co/44H2NZiLRy"
"3","Los separatistas llevan años dejando vacía la silla para negociar una mejor financiación para Cataluña. Si @CiutadansCs gobierna, reclamaremos un sistema de financiación justo.

https://t.co/EqOBbQ6N9x"
"4","Muchas familias, pymes y autónomos dependen de la industria musical, uno de los sectores más afectados por la pandemia. En Cs proponemos:

<U+2705> Plan de ayudas directas
<U+2705> Bono Cultural Joven de 300€
<U+2705> Estrategia de promoción y apoyo al sector cultural

#ParaQueGaneLaMúsica https://t.co/jHjUzLDFFj"
"5","'La suerte de ser libres' canta a la libertad y es un homenaje a la manifestación del 8 de octubre en Barcelona.

Temazo compuesto por @JGToni y que tocamos con @joansabadell y @tonivalenzuela. Somos Vitamina C y es un honor poner música a la campaña de Cs #ParaQueGanemosTodos https://t.co/B5muLcQq1Q"
"6","Va por todos aquellos que creen en la verdadera vitamina para avanzar todos juntos: la libertad #VitaminaCiudadana https://t.co/ElDURqIxVN"
"7","TV3 nos cuesta un dineral y muchos catalanes no la tienen ni sintonizada. Queremos unos medios objetivos, plurales y de calidad y destinar parte de ese dinero a mejorar la vida de los ciudadanos. 

 https://t.co/IXq202DHh6"
"8","<U+0001F941><U+0001F34A> Un orgullo tocar la batería junto a mi ídolo, Sabino Méndez, y todo el equipo de Vitamina C. 

El tempo de nuestro grupo es el latido del corazón. Tenemos en común el alma de libertad que se llama Cs.

<U+0001F3B6> Espero disfrutéis 'La suerte de ser libres'.

https://t.co/EvLJEHVMiO"
"9","Es propio de regímenes autoritarios señalar y acosar a los artistas y librepensadores que les molestan porque van contracorriente.

Todo mi apoyo, querido @BoadellaAlbert, ante este cobarde ataque de los separatistas totalitarios #NoNosCallarán
https://t.co/OzN73pucD2"
"10","Yo estaba allí!, qué grande eres @JGToni!
En sus plazas reservan el derecho de admisión, en las nuestras caben todos.

¡Que gane la libertad! https://t.co/6xxyjP2OTG"
"11","<U+0001F3B6><U+0001F34A> ¡Temazo del gran grupo Vitamina C! ¡Enhorabuena, compañeros!

Como bien dice la canción, ser libre es una suerte, y eso es lo que queremos para los catalanes a partir del próximo #14F 

#ParaQueGanemosTODOS y tengamos libertad en Cataluña, vota Cs 
https://t.co/6l78CWbuP4"
"12","<U+0001F60A> ""Agárrame la mano que a este tren subimos juntos...""  <U+0001F684><U+0001F34A>

Libertad y cultura son indisociables

<U+0001F44F> Gracias @JGToni, @joansabadell, @BalEdmundo y @tonivalenzuela

#ParaQueGaneLaMúsica y #ParaQueGanemosTODOS

https://t.co/YLKuY5rDLw"
"13","Tanto el Govern como el Gobierno de España han abandonado a los feriantes y vendedores ambulantes en su peor momento. La pandemia ha paralizado su actividad y no han recibido ayudas a cambio. 

Hoy les he trasladado nuestras medidas de apoyo. Nosotros no pensamos dejarlos solos. https://t.co/HBBrGSoR2d"
"14","Las 3 ilegalidades cometidas por el Gobierno con el dictamen del Consejo de Estado sobre la gestión de los fondos europeos (RDL36/2020).

Sin transparencia no hay democracia.  https://t.co/5zTO2w05nS"
"15","<U+0001F9E1> Por la libertad, por la cultura y por Cataluña.

<U+0001F3B6><U+0001F3B8> Hoy #SabinoMéndez ha cantado junto a Vitamina C en el encuentro #ParaQueGaneLaMúsica

<U+0001F3A5> ¡Dale al play! https://t.co/f3nGT9ETNO"
"16","<U+0001F34A> ¡Vaya temazo de Vitamina C! 

<U+0001F449> Una canción de @JGToni, junto a @BalEdmundo, @joansabadell y @tonivalenzuela.

<U+0001F3B6><U+0001F3B8> ""El tempo del grupo es el latido del corazón. Tenemos en común el alma de libertad que se llama Cs"" #ParaQueGaneLaMúsica https://t.co/DY3sNns4QQ"
"17","<U+0001F3B6><U+0001F3B8> ""Agárrame la mano que a este tren subimos juntos...""

<U+0001F34A> No te pierdas 'La suerte de ser libres', el temazo de Vitamina C #ParaQueGaneLaMúsica

<U+0001F44F> Gran canción de @JGToni, @joansabadell, @BalEdmundo y @tonivalenzuela https://t.co/3sd2aqZyyj"
"18","<U+0001F941> ¡Hoy tenemos una gran sorpresa!

<U+2049><U+FE0F> Ayúdanos a identificar quién es el personaje que toca la batería en el grupo Vitamina C.

<U+0001F3B6><U+0001F3B8> Descúbrelo en el encuentro #ParaQueGaneLaMúsica https://t.co/J8QsVGAsg5"
"19","<U+0001F613> Illa dice que se bajará el sueldo si es president de la Generalitat

<U+0001F3DB> Pero el PSC siempre rechaza la propuesta de Cs de eliminar los privilegios de los expresidentes

<U+0001F3B6><U+0001F3B8>@InesArrimadas ""Que todos los partidos digan si se unen o no a nuestra iniciativa"" #ParaQueGaneLaMúsica https://t.co/iVuOb4TRH9"
"20","<U+0001F397> El separatismo pretende controlar la ideología y el contenido de todas las expresiones culturales.

<U+0001F34A><U+2705> Cs apoyará cualquier expresión cultural de manera libre.

<U+0001F3B6><U+0001F3B8>¡ Así lo dijo @InesArrimadas! #ParaQueGaneLaMúsica https://t.co/IbCswhkpqJ"
"21","<U+0001F3A7><U+0001F3AD><U+0001F4FD> ¿Qué habría sido de todos sin la cultura durante el confinamiento?

<U+0001F3B6><U+0001F3B8> @InesArrimadas ""No puede dejar caer a esta industria"" #ParaQueGaneLaMúsica

<U+0001F449> Proponemos un Bono Joven Cultural de 300 euros para impulsar al sector. https://t.co/Kn3kwikUYk"
"22","<U+0001F4AA> La cultura y la música son sinónimos de libertad.

<U+2705> También sirve de sustento a miles de familias.

<U+0001F3B6><U+0001F3B8> @InesArrimadas ""Por eso hoy la apoyamos ante una crisis terrible que ha puesto 700.000 puestos en riesgo"" #ParaQueGaneLaMúsica https://t.co/oqTQ71nnIo"
"23","<U+26A0><U+FE0F> Hoy nuevamente el separatismo ha intentado intimidar a @BoadellaAlbert

<U+0001F3B6><U+0001F3B8> @CarrizosaCarlos ""En Cataluña agraden a los que no se alinean con la idea del separatismo"" #ParaQueGaneLaMúsica https://t.co/39kK3e0QqK"
"24","<U+0001F6A8> En Cataluña la cultura se había politizado mucho por culpa del separatismo y lo único que la protegía era la ayuda del público.

<U+0001F3B6><U+0001F3B8> #SabinoMéndez ""Necesitamos una defensa ante esta crisis que nos aleja de la gente"" #ParaQueGaneLaMúsica https://t.co/HJ9rXI5Q6l"
"25","<U+0001F3B6><U+0001F3B8> @AnnaGrauArias ""#SabinoMéndez es una de las personas más libres que conozco: músico y gran escritor"" #ParaQueGaneLaMúsica

<U+0001F449> Es un gran representante del sector musical, uno de los que está sufriendo más por culpa de la crisis del #COVID19 https://t.co/nU4YDp3CGL"
"26","<U+0001F3B6><U+0001F3B8> @InesArrimadas, @CarrizosaCarlos y @AnnaGrauArias participan en el encuentro #ParaQueGaneLaMúsica junto al músico #SabinoMéndez.

<U+0001F449> Además cantará el grupo Vitamina C.

<U+0001F51B> ¡Síguelo #Endirecto! https://t.co/sYwTeaFzp5"
"27","Arnaldo Otegi, el reclamo de ERC: participará en el acto central de campaña junto a Oriol Junqueras.

No hay mejor síntoma del estado de putrefacción moral en que se encuentra el nacionalismo, que este. 

Otegi de estrella invitada...
https://t.co/1MTbJLzFu4"
"28","Nuevo ataque separatista a la casa de Albert Boadella en Gerona tras haber sido señalado por Pere Aragonès como ejemplo de que lo peor que le podría pasar a Cataluña es tenerlo a él como Consejero de Cultura.

https://t.co/JtqprjT2lk"
"29","<U+0001F3A1>Los feriantes catalanes están sufriendo mucho por la crisis derivada de la pandemia.  

<U+0001F4BB> @SaraGimnez se ha reunido con algunos de ellos para explicar las propuestas de Cs para ayudarles. 

<U+0001F4AA> Trabajaremos sin descanso para que nadie quede atrás y #ParaQueGanemosTODOS https://t.co/D1mbE5TT5w"
"30","<U+0001F34A> ¿Qué mejor plan para la tarde que el encuentro #ParaQueGaneLaMúsica con @Carrizosacarlos, @InesArrimadas y @Annagrauarias? 

<U+0001F3B6>En unos minutos explicarán las propuesta de @CiutadansCs para apoyar a la industria musical.

<U+0001F51B> Síguelo #EnDirecto aquí https://t.co/p6oWCa2u0O https://t.co/mn3aIhQhHE"
"31","Hoy he visitado la sede de @CaritasGetafe con @Javier_luengo para reconocer su importante labor con quienes más lo necesitan.

Esta pandemia no debe suponer más exclusión ni más vulnerabilidad.

La tarjeta monedero puede ser una gran ayuda para las familias más vulnerables. https://t.co/y3Nq4eTBHQ"
"32","<U+2757><U+FE0F>Los miembros del Gobierno de Podemos tratan de aprovecharse de su poder y posición para señalar a la prensa

@maitepagaza ""Los populistas son esencialmente antiliberales, y saben que la supresión de la libertad pasa por erradicar la prensa libre"" <U+0001F447>

https://t.co/y1pHpc99ey"
"33","Proponer soluciones mágicas a un problema complejo como la crisis migratoria es una irresponsabilidad. 

Urge abordar la problemática desde un debate sereno, donde se deje a un lado el populismo y la demagogia para dar paso a la sensatez y el consenso.

https://t.co/NfORAk0EWI"
"34","Hoy más que nunca es imprescindible combatir al populismo desde las instituciones. Estoy orgulloso de ser Portavoz Adjunto de @CsCongreso, un grupo al que no le tiembla el pulso a la hora de plantar cara a la demagogia, venga de donde venga. 

Así lo hicimos esta semana <U+0001F447> https://t.co/JgRJKvndEl"
"35","<U+0001F449> Hemos intentado recopilar la información del Gobierno de Euskadi sobre el traspaso de prisiones...

<U+0001F926><U+200D><U+2642><U+FE0F> Pero el borrador que parece que han negociado está oculto.

<U+2757><U+FE0F>Los ciudadanos merecen conocer las condiciones de este acuerdo.

<U+0001F3DB> @LuisIGordillo https://t.co/qJpXYeCh3m"
"36","Cuando un responsable político se aprovecha de su cargo para vacunarse, los partidos debemos hacer todo lo posible para que se vaya cuanto antes. 

No vale actuar solo de cara a la galería con declaraciones vacías.

Acción, reacción.<U+0001F34A> https://t.co/e1xZdn6Ldj"
"37","<U+274C> Los problemas complejos que sufren los ciudadanos no pueden solucionarse con demagogia barata. 

<U+0001F1EA><U+0001F1F8> Los españoles merecen responsabilidad y #PolíticaÚtil, y Cs se dejará la piel para ello.

<U+0001F4FD><U+FE0F> ¡Dale al play para ver cómo desmontamos el populismo desde @CsCongreso! https://t.co/iMFjyRqsFr"
