"","x"
"1","<U+0001F3A5>[VÍDEO] @martavilaltat: ""Davant de tots aquells que estan disposats a tot per derrotar-nos, fins i tot a acceptar el vot de Vox, els hi presentem l'antídot, que és @Esquerra_ERC <U+270A>. Tornem a omplir les urnes de groc, de democràcia i d'antifeixisme!"" #AlCostatDeLaGent https://t.co/DdCrW9wpJN"
"2","<U+0001F3A5>@raulromeva: ""Us dono5<U+20E3>motius per votar @Esquerra_ERC: 
1<U+20E3>Per les 3.000 persones represaliades
2<U+20E3>Pel projecte col·lectiu i integrador
3<U+20E3>Perquè utilitzem la paraula, no les togues
4<U+20E3>Perquè som els dels grans consensos
5<U+20E3>Per la dignitat de 90 anys d’història""
#AlCostatDeLaGent https://t.co/agajQE1C1F"
"3","<U+0001F3A5>[VÍDEO] @rogertorrent: ""Tenim l’oportunitat de fer que la Generalitat sigui liderada pel partit de Macià, de Companys, de @junqueras i de @martarovira i tants altres que ho han donat tot<U+0001F397><U+FE0F> per la llibertat d’aquest país"" #AlCostatDeLaGent https://t.co/SJczeO4pSD"
"4","<U+0001F3A5>[VÍDEO] @LauraVilagrPons explica tres propostes clau d'@Esquerra_ERC: 
<U+0001F49C>La Conselleria d'Igualtat i Feminismes
<U+0001F49A>La Conselleria d'Acció pel Clima
<U+0001F4B0>Una reconstrucció socioeconòmica justa

#AlCostatDeLaGent https://t.co/UrTHwBBRjB"
"5","<U+0001F3A5>[VÍDEO] @gabrielrufian a l'acte del Clot: ""Els socialistes han anat de Pasqual Maragall a Ortega Smith<U+274C>. Algú dubta si acceptaran la presidència de la Generalitat amb els vots de la ultradreta? Només ho pot aturar @Esquerra_ERC<U+270A>"" #AlCostatDeLaGent https://t.co/7d246xrcAU"
"6","Compromeses amb el món de l'esport. Xerrada on-line amb @anna_caula i @JosepCampos_PhD Us hi esperem! <U+0001F4AA><U+0001F3FB> #AlCostatDeLaGent https://t.co/xTM3zWjFla"
"7","<U+0001F4E1>Fem un cafè virtual entre republicanes<U+0001F49C>

<U+0001F5E3><U+FE0F>Demà 6 de febrer amb Jenn Diaz i Ruiz i Clara Palau i Canals
<U+2615>De 15.30h a 16h

<U+0001F4F2> A l'Instagram de @jnndiazz i @clara.p.c

Us hi esperem a totes #Republicanes14F<U+270A>
#AlCostatDeLaGent https://t.co/AwRK6q6M9j"
"8","Ens veiem ara! #AlCostatDeLaGent https://t.co/JR5cAa97MH"
"9","<U+2757> Ara, @perearagones, @martavilaltat, @raulromeva, @LauraVilagrPons, @rogertorrent, @gabrielrufian i més en directe des del Clot! #AlCostatDeLaGent

<U+0001F556>19h
<U+0001F4BB>En streaming, no t'ho perdis<U+0001F447>https://t.co/AIujPFiIxg"
"10","Ganes que arribi diumenge! Tenim l'acte central d'@Esquerra_ERC a #Girona.

Propostes valentes de persones honestes <U+0001F44F>

#JordàAmbGirona
#AlCostatDeLaGent https://t.co/F18oGx7R0Y"
