"","x"
"1","<U+0001F3A5> @LauraBorras: ""Quan pensem què ens juguem el #14F, tinguem present per què pot servir el nostre vot: amb #Junts tindrem l'única garantia de tenir un govern independentista, que sense dreceres, però sense aturar-nos, avanci fermament cap a la independència que ens cal"" https://t.co/HzTenj1Wpf"
"2","<U+0001F3A5> @LauraBorras: ""La vicepresidenta Calvo ha demanat a Illa que escolti les dones catalanes perquè estan desateses institucionalment. No patiu. A #Junts som moltes dones, catalanes i feministes, per això treballem perquè una dona sigui presidenta de la Generalitat de Catalunya"" https://t.co/9iy2XOW5Ag"
"3","<U+0001F5E3><U+FE0F> @LauraBorras: ""Hem de fer que el català sigui una llengua de futur. La gent vol aprendre llengües plenes de vida, i el català ho està. No ens hem de preguntar què passarà amb el català, sinó què volem que passi; El futur del català no és inexorable, depèn de nosaltres"" https://t.co/VBPjZ71vQx"
"4","<U+0001F3A5> president @KRLS: ""A l'Estat espanyol i a la Unió Europea, els ensenyarem la triple majoria: majoria absoluta al Parlament en escons; superarem el 50% de vots independentistes a les urnes; i tercera majoria, i la que més els dol, #Junts liderarà aquesta majoria independentista"" https://t.co/WhRPW6HXrS"
"5","<U+0001F3A5> president @KRLS: ""Josep Borrell, cada vegada que vulguis donar lliçons, algú que et recordarà que el teu govern ha pegat persones innocents i pacífiques, que volien votar. Que heu destituït un govern escollit democràticament, dissolt un Parlament i empresonat líders polítics"" https://t.co/aKKPbRxgRq"
"6","<U+0001F3A5> president @KRLS: ""En 3 anys de represió i exili, no han estat capaços de proposar unes pàgines alternatives on expliquin que a més de pegar-nos, tenen un projecte per les Comarques Gironines, per la llengua i l’economia. No el tenen. I com que nosaltres sí, no passarem pàgina"" https://t.co/DF4HPMMgNx"
"7","<U+0001F3A5> @GemmaGeis: ""Hem de votar #Junts perquè tenim la radiografia del país i la gent; perquè no volem un tripartit, perquè si sumen, el faran; perquè defensem la responsabilitat de país; perquè el vot útil és el de #Junts; i per fer la @LauraBorras presidenta de la Generalitat"" https://t.co/t9wir2MYSO"
"8","<U+0001F5E3><U+FE0F> @GemmaGeis: ""Hem de guanyar les eleccions perquè ens preocupa la gent, les empreses, les PIME, i perquè ho remuntarem. Tenim molt clar la radiografia de les Comarques Gironines, la seva morfologia social i econòmica, i governarem reconeixent la diversitat del territori"" https://t.co/uXkARhgZpf"
"9","<U+0001F5E3><U+FE0F> @tionroquer: ""Necessitem un gran procés de transformació i per poder-ho fer, necessitem la independència. Per tenir un Estat que ens jugui a favor. I per fer-ho, hem de votar #Junts perquè només si la @LauraBorras guanya i és presidenta, hi haurà un govern independentista"" https://t.co/OExN4APYvm"
"10","<U+0001F4F7> Comença l'acte de campanya #JuntsPerFigueres.

<U+0001F5E3><U+FE0F> Amb el president @KRLS, la candidata @LauraBorras, la cap de llista de @JuntsGirona @GemmaGeis i els candidats @tionroquer i @jmbernils.

<U+0001F4CC> Segueix-lo en directe a: https://t.co/AJG4oICItn

#JuntsPerSer #JuntsPerFer https://t.co/e7HvHirLUb"
