"","x"
"1","<U+0001F3AC>”Señor Mañueco ha mentido a todo el mundo, es usted más falso que el máster de Pablo Casado, es a la verdad lo que el PP a la lucha contra la corrupción.

Necesitaríamos un presidente con altura de miras pero usted es un vulgar trilero, un timador. https://t.co/gH9ayy8xwT"
"2","PP: Episodio II - Bárcenas contraataca https://t.co/JjikGBp5U0"
"3","Si una cosa ha quedat clara avui és que tenir un Govern feminista és feina de tots i totes <U+0001F49C> Aquest #14F ens juguem que el feminisme estigui al cor de totes les polítiques!

Recupera #FeminismeCatMereix amb @JessicaAlbiach, @AdaColau i @IreneMontero <U+0001F449> https://t.co/FXPlKFKRrB https://t.co/CuRW8ZO70u"
"4","<U+0001F4FD> @jessicaalbiach: “La ley del Solo sí es sí nos protege a todas, incluidas las mujeres trans.

Ampliar y reconocer derechos no tiene que ser visto como una amenaza contra los derechos de nadie. 

Un país que reconoce más derechos es un país mejor”.

#FeminismeCatMereix https://t.co/eku29Uzfko"
"5","<U+0001F4FD><U+FE0F> @IreneMontero: ""En estos presupuestos hemos hecho un aumento sin precedentes de la inversión pública en políticas de igualdad. Eso es esencial porque sin inversión pública es muy difícil convertir en realidad las políticas públicas enunciadas"".

#FeminismeCatMereix https://t.co/VzS7xLHiT6"
"6","'Corrupción' tiene errata. @RAEinforma https://t.co/5WlOHguyU8"
"7","<U+0001F4FD><U+FE0F> @IreneMontero: ""Hay otro cambio fundamental que es el 'solo sí es sí', situar el consentimiento en el centro de la legislación y en el centro también de nuestro pensamiento y de nuestra forma de entender cómo son las relaciones humanas"".

#FeminismeCatMereix https://t.co/3aWinFk77I"
"8","<U+25B6><U+FE0F> @AdaColau: ""Hi ha violències estructurals que necessiten polítiques concretes d'emergència. I falten recursos de formar urgent, perquè les dones que pateixen violència han de tenir una llar segura."" 

#FeminismeCatMereix https://t.co/wlk3WIzDt6"
"9","<U+0001F4FD><U+FE0F> @IreneMontero: ""Algo muy positivo de vuestra ley es el reconocimiento del síndrome de alienación parental como violencia institucional. Nosotras ya hemos propuesto también, junto a la @VSocialGob, que el síndrome de alienación parental quede prohibido"".

#FeminismeCatMereix https://t.co/xrVPu2uSWz"
"10","<U+0001F4FD><U+FE0F> @IreneMontero: ""La Ley 'Solo Sí es Sí' va a ser muy importante por el cambio de paradigma que supone en la comprensión de lo que son las violencias machistas en el estado. Es necesario que reconozcamos todas las formas de violencia contra las mujeres"".

#FeminismeCatMereix https://t.co/oEu1fuWiiD"
"11","<U+0001F4FD> @jessicaalbiach: “Es muy importante tener una Conselleria de Feminismos en el Govern que ponga la igualdad en el corazón de todas las políticas.

Lo que se dice en campaña se tiene que cumplir. La honestidad, sinceridad y valentía también son feminismo”.

#FeminismeCatMereix https://t.co/c2C6kgTjnj"
"12","<U+0001F4FD><U+FE0F> @jessicaalbiach: ""Estos días en los ataques de redes, que todas sufrimos, querían insultarme llamándome mujer de la limpieza, cajera o poligonera. Y no me podía sentir más halagada porque sin esas mujeres que sostienen la vida no estaríamos aquí"".

#FeminismeCatMereix https://t.co/BMA9IW0Vxv"
"13","<U+0001F4FD><U+FE0F> @IreneMontero: ""Nuestra forma de hacer política es visibilizar que todo lo hacemos en común y pensar que tenemos que actuar sobre las bases de una estructura social y de poder injusta que penaliza a las mujeres"".

#FeminismeCatMereix https://t.co/G9H0kDAc4g"
"14","<U+0001F4FD><U+FE0F> @IreneMontero: ""Esta pandemia ha sido una impugnación del machismo porque ha demostrado que solas y solos no podemos nada. Necesitamos lo común. Nos necesitamos los unos a los otros. Necesitamos fortalecer los servicios públicos y cuidar lo común"".

#FeminismeCatMereix https://t.co/XviC4lcp4p"
"15","<U+0001F4FD><U+FE0F> @IreneMontero: ""Las políticas feministas no son solo cosas dirigidas muy específicamente a las mujeres, sino que cuando hablamos de políticas feministas hablamos de ensanchar la estructura de poder para que las mujeres podamos ejercer ese poder"".

#FeminismeCatMereix https://t.co/zGRATrPNMJ"
"16","<U+0001F4FD><U+FE0F> @IreneMontero: ""El movimiento feminista es seguramente el movimiento con más capacidad de transformación en todo el mundo. Y nuestro trabajo desde las instituciones es transformar esa agenda feminista en políticas públicas"".

#FeminismeCatMereix https://t.co/Hc2rzuqd01"
"17","<U+0001F4FD> @AdaColau: ""La presidenta feminista que m'agradaria tenir és la @jessicaalbiach.

Ja toca tenir una presidenta a Catalunya, és una anomalia que no n'hi hagi hagut mai cap. Però no és suficient que les dones arribem al poder, hem de transformar la realitat”

#FeminismeCatMereix https://t.co/C84r3IbYCy"
