"","x"
"1","Me eligieron en primarias para erradicar cualquier conducta no ejemplar en el PP. Y no me va a temblar el pulso frente a quien haya hecho algo mal, sea quien sea.
Esa firmeza la he demostrado siempre, nadie me va a dar lecciones y menos el PSOE de los ERE y el Podemos de Neurona. https://t.co/N0fdyM1Kt0"
"2","<U+0001F449><U+0001F3FD> @alejandroTGN: ""A Iceta ya le habían leído la matrícula los catalanes. El PSOE coge ahora a Illa para ver si engañan a algún incauto, le dan los constitucionalistas sus votos y luego ellos se los entregan a ERC”.

#UnaCataluñaMejor https://t.co/9rsH5oPxJf"
"3","<U+0001F449><U+0001F3FD> @alejandroTGN: ""Voy a gobernar para todos los catalanes para superar los últimos ocho años en los que hemos tenido presidentes que, no solo es que hayan gobernado para su parroquia, sino que se han jactado de ello”.

#UnaCataluñaMejor https://t.co/Inqd8y53Qg"
"4","<U+0001F449><U+0001F3FD> @alejandroTGN: ""La libertad educativa es un principio asumido por todas las democracias que fundaron la UE”.

Sin estabilidad política no funcionará ni la propiedad privada, ni la libertad educativa, y seguiremos con unos impuestos confiscatorios desbocados.

#UnaCataluñaMejor https://t.co/hYP2sPe6yQ"
"5","<U+0001F449><U+0001F3FD> @alejandroTGN: “No es verdad que la gente que tiene una segunda residencia sea millonaria, es gente que ha trabajado toda su vida y que vive hoy con la angustia de que se la puedan okupar”.

<U+0001F449>El 86% de estas viviendas son de particulares.

#PlanAntiokupación #UnaCataluñaMejor https://t.co/Ttmv1ERMvu"
"6","<U+0001F535>@mxandri73: “¿Por qué los leridanos han de apostar por nuestras siglas? Porque la gestión nefasta de Gobierno nos ha dejado 26.000 parados y más de 34.00 personas en ERTE. Necesitamos al PP, que donde gobierna demuestra que salud y economía son compatibles”.

#UnaCataluñaMejor https://t.co/dkC0K48GVN"
"7","<U+0001F518> @xavipalaulleida: “El #14F tenemos elecciones y hay cuestiones básicas y fundamentales que tienen que agrupar al votante de centroderecha. Somos el único grupo municipal que se ha involucrado clara y contundentemente contra la okupación”.

#UnaCataluñaMejor https://t.co/E9GgiGNjtM"
"8","<U+0001F4E1> #EnDirecto <U+0001F449><U+0001F3FD> Acto desde Lleida con @alejandroTGN, @mxandri73, @xavipalaulleida y @BelenHoyo.

#UnaCataluñaMejor
 https://t.co/avSk98Fcr1"
"9","<U+0001F535> A las 18:00h, no te pierdas nuestro acto en Lleida, en el que estarán:

<U+0001F449><U+0001F3FD> @alejandroTGN 
<U+0001F449><U+0001F3FD> @mxandri73 
<U+0001F449><U+0001F3FD> @BelenHoyo 

Nos hablarán de todo aquello que es necesario cambiar para que tengamos #UnaCataluñaMejor <U+0001F642> https://t.co/uelY9MZWgQ"
"10","<U+0001F4FA> La okupación es un problema importante en Cataluña. 

En el Barrio de Gracia, además de trasladar nuestro #PlanAntiokupación, hemos contado a los vecinos el proyecto de @alejandroTGN con ayudas para la hostelería y soluciones para los problemas reales.

#UnaCataluñaMejor https://t.co/TP7xW3ushg"
