"","x"
"1","<U+0001F64B><U+0001F3FB><U+200D><U+2640><U+FE0F>”El #14F estarán las urnas legales y legítimas y Cataluña no puede dejar pasar esta oportunidad de dar una respuesta clara y pacífica”. @carmencalvo_ 

<U+0001F64B><U+0001F3FD><U+200D><U+2642><U+FE0F>@salvadorilla se compromete a promover una Ley de Memoria Democrática Catalana.

#PresidentIlla <U+0001F447><U+0001F3FD>

https://t.co/YmXmiQURjZ"
"2","“No hay socialismo sin feminismo” o “No se puede ser demócrata sin ser feminista” son algunas de las ideas que he intercambiado este viernes con @carmencalvo_. Gracias por este rato juntos. Ha llegado el momento de levantar la Cataluña más feminista.
#Hagámoslo https://t.co/mlj4kDFM8g"
"3","Esta democracia que tenemos se la debemos a quienes han mantenido la antorcha durante mucho tiempo.Tenemos que cerrar esa ignominia con #MemoriaDemocrática devolviendo identidad y dignidad a quienes entregaron su vida.

#PresidentIlla
#FemHo https://t.co/dRaei3PW02"
"4","<U+0001F5E8><U+FE0F> @salvadorilla:

""El 14 de febrer l'ÚNIC vot de CANVI i per AVANÇAR és el vot a la candidatura del PSC.

<U+0001F339>A GUANYAR, a passar pàgina i a canviar Catalunya!"".

#PresidentIlla https://t.co/HH5Vk9Nmcb"
"5","¡Decir Basta!
¡Pasar página!

Hacer que Cataluña vuelve a dialogar, a avanzar, a acoger.

Que se reencuentre consigo misma, con España, con Europa, con el futuro.

Con lo que Cataluña fue y nunca debió dejar de ser.

<U+0001F339> @salvadorilla 

#PresidentIlla https://t.co/4QWBad9Z59"
"6","Reencuentro, reparación, justicia y no repetición.

Queremos promover una Ley de Memoria Democrática catalana coherente e integral que garantice:

<U+0001F449>El conocimiento de la memoria histórica de Cataluña como patrimonio colectivo.

<U+0001F449>RECONOCIMIENTO.

<U+0001F339>@salvadorilla

#PresidentIlla https://t.co/5cyi4N7CUN"
"7","Debemos ser capaces de encontrar las reglas de convivencia que nos permitan convivir a unos y otros:

<U+2764><U+FE0F> En las que los sentimientos de identidad no nos dividan.

<U+2764><U+FE0F> Que puedan unirnos, compartir objetivos y recuperar afecto y respeto.

<U+0001F339> @salvadorilla

#PresidentIlla https://t.co/beU5avoYlq"
"8","El PSC ha sido el punto de encuentro de personas muy diferentes <U+2192> El mejor legado.

Pero lamentablemente hemos vivido una crisis de convivencia que aún no hemos cerrado.

Estoy aquí para cerrar esa herida.
Para recuperar la unidad de Cataluña.

<U+0001F339>@salvadorilla

#PresidentIlla https://t.co/LUQJrHz5iM"
"9","Los socialistas venimos de muy lejos...

<U+270A>42 años de historia del PSC.
<U+270A>141 años del PSOE.

Los nuestros son partidos hermanos al servicio de unos mismos ideales: libertad, igualdad, justicia y solidaridad.

Una historia de lucha y compromiso.

<U+0001F339>@salvadorilla

#PresidentIlla https://t.co/alIKIJrM4O"
"10","Cataluña no puede dejar pasar esta oportunidad.
Es necesaria una respuesta CLARA el #14F.

<U+0001F5F3><U+FE0F> Yo pido el voto para @socialistes_cat. <U+0001F5F3><U+FE0F>

Es el momento de mirar al futuro.
Queda mucho por hacer.

<U+0001F339> @carmencalvo_ 

#PresidentIlla 
#VotaPSC /<U+2764><U+FE0F> https://t.co/OK7b9rRIvz"
"11","La mejor concordia es la JUSTICIA.
Y justicia significa sacar a todos los que están desaparecidos.

Las derechas no quieren saber nada de esto, no les interesa recordar.

<U+0001F339> @carmencalvo_ 

#PresidentIlla 
#VotaPSC /<U+2764><U+FE0F> https://t.co/zR5gIUAfQi"
"12","Somos socialistas.
Tenemos un apellido que nos honra.

La democracia que tenemos se la debemos a quienes nos defendieron.

<U+0001F339> @carmencalvo_ 

#PresdientIlla 
#VotaPSC /<U+2764><U+FE0F> https://t.co/xE4q3QsYn9"
"13","La sociedad española no puede seguir teniendo deudas con su memoria.

¿Os acordáis cuándo M. Rajoy decía que se dedicaba 0 euros a la memoria democrática?

Esto es lo que hace la derecha:
NO reencontrarse con su pasado.

<U+0001F339> @carmencalvo_ 

#PresdientIlla 
#VotaPSC /<U+2764><U+FE0F> https://t.co/HfIO2yYm1Z"
"14","<U+0001F5E8><U+FE0F>@FerranPedret:

""Quina gran oportunitat se'ns ha obert amb la candidatura de @salvadorilla.

Tenim l'oportunitat de deixar enrere una dècada que es va inaugurar amb les retallades d'Artur Mas, acompanyat del PP i que han continuat els governs independentistes"".

#PresidentIlla https://t.co/W61yxz5UDD"
"15","<U+0001F534> #ENDIRECTO #ENDIRECTE| @salvadorilla con la vicepresidenta primera y secretaria de Igualdad del #PSOE, @carmencalvo_.

<U+0001F4AC> ""La memoria democrática: una política para el reencuentro"".

#PresidentIlla 
#VotaPSC /<U+2764><U+FE0F> https://t.co/jUVRxCU67Q"
"16","<U+0001F4CC>17:30h: ""La memòria democràtica: Una política per al retrobament.""

<U+0001F5E3><U+FE0F>Amb el candidat, @salvadorilla, la ministra de la Presidència, Relacions amb les Corts i Memòria Democràtica, @carmencalvo_ i el núm. 5 per Barcelona, @FerranPedret.

<U+25B6><U+FE0F>https://t.co/qCcRmA5Tlx
#PresidentIlla https://t.co/XuqMc29PyB"
"17","No es la derecha del pasado. Es la derecha de siempre, con sus señas de identidad: corrupción sistémica y abuso de poder.
 
Casado estaba llamado a elegir: limpiar o tapar. Y parece que ha elegido lo segundo.
 
<U+270D><U+FE0F>Tribuna de @SimancasRafael en @FSistema <U+21CA>
https://t.co/5F97MA5zYz https://t.co/85ZEiA40VD"
"18","<U+0001F64B><U+0001F3FB><U+200D><U+2640><U+FE0F>@salvadorilla se compromete a poner en marcha un “Pacto catalán contra la #violenciamachista” dotado con 50 milllones de €

<U+0001F64B><U+0001F3FB><U+200D><U+2640><U+FE0F>@carmencalvo_ “La democracia del siglo XXI no se puede construir sin más de la mitad de la población”.

#PresidentIlla

Info <U+0001F449><U+0001F3FD>https://t.co/VkKhHNMBME https://t.co/VEHJXUk6Jd"
"19","<U+0001F4E2> ¡EXTRA, EXTRA!<U+0001F4E2>
 
Ya está aquí #ElSocialista<U+0001F339>
 
Una semana marcada por el reinicio de la actividad parlamentaria con las primeras sesiones de control al Gobierno en @Congreso_Es y @Senadoesp y la campaña catalana del #PresidentIlla/<U+2764><U+FE0F>
 
Toda la info<U+0001F447><U+0001F3FD>
https://t.co/8adpbGtrgj https://t.co/8XVRmslaSB"
"20","<U+0001F339><U+0001F5D3><U+FE0F> A partir de las 17:30h.
 
<U+0001F4AC> ""Acto sobre Memoria Democrática"".
 
<U+0001F5E3><U+FE0F> @salvadorilla
<U+0001F5E3><U+FE0F> @carmencalvo_
<U+0001F5E3><U+FE0F> @FerranPedret
 
<U+0001F534> ¡Síguelo en nuestras redes sociales!
<U+25B6><U+FE0F> https://t.co/xFb74Exq5m
 
#PresidentIlla
#VotaPSC /<U+2764><U+FE0F> https://t.co/TMFVQYKudc"
"21","Con @salvadorilla dialogando sobre la necesaria política feminista y de #Igualdad:

""Escucha a las mujeres de #Cataluña, que llevan mucho tiempo desatendidas institucionalmente. Escucha al tejido en el que están organizadas. A las más jóvenes"". 

#PresidentIlla
#FemHo https://t.co/1TvzS0esvE"
"22","Entre donaciones y adjudicaciones…
 
El PP ha logrado mantener durante años un sistema en B muy beneficioso, oculto bajo los cimientos de Génova 13 desde hace décadas.
 
#PartidoPopularEnB https://t.co/d9jjGaKtSz"
"23","El Gobierno de M.R ha hecho todo lo posible por ocultar la financiación ilegal del PP: destruyendo pruebas, mintiendo…
 
<U+0001F449>Todo con tal de que la caja B no se destapara.
 
Pero tantas mentiras han hecho explotar la caja de pandora y lo señalan expresamente.
 
#PartidoPopularEnB https://t.co/ctSF0Xzpnc"
"24","El sistema de la caja B del Partido Popular fue transmitido de generación en generación de tesoreros a lo largo de décadas de historia del partido.
 
<U+0001F449>La ""extracontabilidad"" financiaba campañas, sobresueldos...incluso la reforma de Génova.
 
#PartidoPopularEnB https://t.co/PPXwE05vIh"
"25","<U+274C>La corrupción como sistema normalizado de financiación desde Fraga hasta Rajoy pasando por Aznar.

<U+0001F4B0>Así funcionaron las cuentas B en el Partido Popular incluso desde antes de su fundación.<U+0001F4B0>

¿Y Pablo Casado?
Pablo Casado no llegó al PP hace 2 días…

#PartidoPopularEnB https://t.co/WjgD4IqdKi"
"26","Diálogo sobre políticas feministas <U+0001F339><U+0001F49C> 

<U+0001F465> @salvadorilla Vamos a formar un gobierno feminista en Cataluña.

<U+0001F465> @carmencalvo_  Todos los socialistas de España estamos detrás tuyo, Salvador.

#PresidentIlla https://t.co/hlOfn3U2GI"
"27","Diálogo sobre políticas feministas <U+0001F339><U+0001F49C> 

<U+0001F465> @carmencalvo_  Los fondos usados en Cataluña contra la violencia machista han sido estatales.

<U+0001F465> @salvadorilla 50M para un Pacto Catalán contra la VG es un compromiso potente. Solo se avanza con gobiernos socialistas.

#PresidentIlla https://t.co/Ovo92yo2mH"
"28","""Diálogo sobre políticas feministas"" <U+0001F339><U+0001F49C> 

<U+0001F465> @carmencalvo_  El independentismo ha destruido políticas de igualdad.

<U+0001F465> @salvadorilla Impulsaré un Pacto en Cataluña contra la violencia machista y lo dotaremos con 50 millones de euros.

#PresidentIlla https://t.co/C02UowKgta"
