"","x"
"1","Esta es la verdad de muchos trabajadores españoles, especialmente aquí, en Cataluña. Han sido abandonados por el gobierno y la Generalitat. Se lavan las manos ante un discurso que no les interesa. Aquí la realidad: https://t.co/SsafsMTZ6c"
"2","VOX hizo un llamamiento para firmar el manifiesto por unas elecciones libres, democráticas y en paz.
 
Esta ha sido la respuesta de la mafia separatista bajo el silencio del resto de formaciones políticas. 

Frente a su violencia, nuestra concordia. 
#RecuperemosCataluña https://t.co/NlBVFl27q6"
"3","<U+203C> El 14 de febrero será un día histórico. 

<U+0001F50D>  Ayúdanos a lograrlo. Sé apoderado de VOX para ser nuestros ojos durante la jornada electoral. 

<U+0001F4F2> Enlace para registrarte: https://t.co/lXvFgIrh8h https://t.co/a6dkcqYNT9"
"4","Es una vergüenza que los políticos que piden a los catalanes votar, les impidan trabajar

Abren sus chiringuitos, cierran nuestros comercios.

Mañana estaré dando apoyo al gremio de la hostelería.

#RecuperemosCataluña. https://t.co/ZcSUaN6FlW"
"5","Para el @ppbalears (y para @CsBaleares ) que las familias puedan elegir libremente la lengua de enseñanza, en todas las etapas educativas, es una “imposición”, favorece la “inmersión”, y es “extremista” <U+0001F633>
Y lo dice el PP: El que impuso el catalán cuando gobernó #SoloQuedaVOX https://t.co/tK2wpqyRD6 https://t.co/UjE3ObcHgD"
"6","Claro, conciso y contundente. Así se ha expresado nuestro candidato @Igarrigavaz en la entrevista en @20m.
""Vox no apoyará en ningún caso a un Gobierno del Partido Socialista o del señor IIla""
https://t.co/mZM3Uet6yc"
"7","Este sábado en #Tarragona
#RecuperemosCataluña #RecuperemEspanya <U+0001F1EA><U+0001F1F8> https://t.co/5xRRsKwrYc"
"8","<U+0001F69C> Nuestros agricultores agonizan debido a las imposiciones de los oligarcas de Bruselas y el sectarismo del separatismo.

Defendemos el producto nacional frente a la entrada desleal de productos extracomunitarios y el pluralismo sindical en el sector.

#RecuperemosCataluña <U+0001F1EA><U+0001F1F8> https://t.co/x54QjsmYiM"
"9","<U+203C><U+FE0F> Los mossos consienten que una carpa de VOX sea acosada en Borges Blanques, Lérida.

¿Por qué los mandos políticos permiten que la turba separatista acose a nuestros afiliados y simpatizantes en todos nuestros actos?

Seguiremos avanzando <U+0001F4AA><U+0001F1EA><U+0001F1F8> #RecuperemosCataluña https://t.co/TSPyz5NBaQ"
"10","<U+203C> VOX regresa a Twitter después de un arresto injustificado de 7 días.

¿Por qué @TwitterEspana censura al 3º partido de España en plena campaña electoral?

Continuaremos pensando lo mismo y seguiremos defendiendo los intereses de los españoles 

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8>

<U+2B07> HILO <U+2B07> https://t.co/erpr06iix5"
"11","Los españoles defenderán su libertad y su soberanía frente a la dictadura digital de las multinacionales.

Un puñado de empresas extranjeras no someterán a millones de ciudadanos libres.

Los españoles son imparables y hemos venido a representarlos.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/EwsPRCPAPI"
"12","PP, ¿valor seguro?

El ministro de la Oposición nos lo aclara. https://t.co/TZZxf5rjXH"
"13","“El PSOE nos ha engañado como los chinos...” ¡María Teresa siempre en mi equipo! <U+0001F60D><U+0001F60D><U+0001F60D><U+0001F44F><U+0001F44F><U+0001F44F> #RecuperemosCataluña <U+0001F1EA><U+0001F1F8> https://t.co/J6aViSRjMA"
"14","Hoy paseo por los barrios obreros de #Barcelona junto a @Igarrigavaz, el único candidato que habla el idioma de la gente corriente y que se preocupa de sus problemas reales. #RecuperemosCataluña #RecuperemEspanya <U+0001F1EA><U+0001F1F8> https://t.co/9J6f0XQf6H"
"15","¡Ole tú, charnego! Porque sobre tu espalda se ha construido Cataluña. @vox_es no permitirá que te sigan haciendo sentir ciudadano de segunda. #RecuperemosCataluña https://t.co/MlYmEEV9Re"
"16","Ni la violencia ni la censura digital nos van a parar.

Seguiremos denunciando los problemas de la inmigración descontrolada allá donde vayamos.

¡Fronteras seguras! ¡Barrios seguros!

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/dCMrxciULS"
"17","No estamos dispuestos a ceder ni un sólo palmo frente a los separatistas totalitarios ni frente a las oligarquías globalistas.

Si los españoles no se rinden, España triunfa.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/HnVAu2ExTX"
"18","Hace falta mucho más que cuatro proetarras para impedir que estemos en la calle y hablemos.

Ni un paso atrás.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/satX3of1DR"
"19","La clase obrera estamos con @Vox_es por eso #VoxEsImparable https://t.co/B7Exd0HtUw"
"20","<U+0001F4F9> #VOXEsImparable y @Santi_ABASCAL ya nos explicaba hace dos años por qué.

(1/2) https://t.co/5g8DOkOGcb"
"21","Se acerca la hora de los patriotas. 

#VoxEsImparable https://t.co/8GyZHFE4bc"
"22","<U+2705> La cuenta de @vox_es vuelve a estar operativa.

Las oligarquías extranjeras no harán callar la voz de millones de españoles.

#VOXEsImparable https://t.co/jj4jHNVBYw"
"23","Sin tregua en la lucha por la libertad, la soberanía y la seguridad de los españoles. 

#VOXesImparable https://t.co/bihq0QHy9n"
"24","#VOXEsImparable y lo saben <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/eAX6B2aOYm"
"25","#VoxEsImparable https://t.co/yDfjI8dHjF"
"26","Hace falta mucho más que cuatro proetarras para impedir que estemos en la calle y hablemos.

Ni un paso atrás.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/satX3of1DR"
"27","No estamos dispuestos a ceder ni un sólo palmo frente a los separatistas totalitarios ni frente a las oligarquías globalistas.

Si los españoles no se rinden, España triunfa.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/HnVAu2ExTX"
"28","Ni la violencia ni la censura digital nos van a parar.

Seguiremos denunciando los problemas de la inmigración descontrolada allá donde vayamos.

¡Fronteras seguras! ¡Barrios seguros!

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/dCMrxciULS"
"29","#VoxEsImparable https://t.co/fH58cI0qKb"
"30","Pese a la censura impuesta por las oligarquías tecnológicas, no conseguirán silenciarios.

No dejaremos de denunciar la violencia, la inmigración ilegal y la inseguridad en las calles que sufren los españoles.
#VOXEsImparable<U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/oz0ilmPbsr"
"31","PP, ¿valor seguro?

El ministro de la Oposición nos lo aclara. https://t.co/TZZxf5rjXH"
"32","Están atentando contra nuestros derechos y libertades, los están pisoteando impunemente.

El Gobierno ha demostrado en múltiples ocasiones, que para ellos lo único importante es el bienestar de su círculo más cercano.

Nos quieren silenciar y desde aquí les digo<U+27A1><U+FE0F>#VOXEsImparable https://t.co/Me74yQ6Syw"
"33","Porque es el único partido que defiende a los españoles y ataca sus problemas reales: el paro, la ocupación, la inmigración ilegal, el ataque a la soberanía y las fronteras...

#VOXEsImparable https://t.co/GCReYPI5Ho"
"34","<U+0001F4F0> Noticia: Twitter manda a VOX al ""rincón de pensar"" durante 7 días.

<U+0001F3C6> Resultado: Seguimos pensando lo mismo y demostramos que somos el partido más influyente de Twitter. 

<U+0001F51D> ¡Unos minutos después de recuperar nuestra cuenta somos 1º TT en España!

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/pb9YVwZ6Ug"
"35","#VOXEsImparable 

No podréis con la #EspañaViva. 

Somos la España que no se rinde https://t.co/N7aH6xcxog"
"36","Frente a su odio, nuestro amor por Cataluña.

VOX también es imparable en Barcelona, en Gerona, en Tarragona y en Lérida.

#VOXEsImparable y este 14 de febrero será la voz de los catalanes olvidados y perseguidos <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/xtBWcYv7qw"
"37","<U+0001F4E2> ¡@vox_es ha vuelto! <U+0001F60E><U+0001F4AA><U+0001F1EA><U+0001F1E6>

<U+274C> Las oligarquías tecnológicas NO podrán silenciarnos.

<U+27A1><U+FE0F><U+27A1><U+FE0F> #VOXesImparable <U+2B05><U+FE0F><U+2B05><U+FE0F> https://t.co/wpPwK7fgAg"
"38","¡La Libertad no se añora, se defiende y se conquista!

Difunde nuestro mensaje de vecino a vecino, de barrio a barrio.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/DU0fjvwIye"
"39","En la tribuna del Congreso, en las calles y, ahora más que nunca, en Twitter. #VOXEsImparable defendiendo tu libertad. ¡Hemos vuelto! @vox_es https://t.co/7sDf3vKkfU"
"40","<U+0001F6A8> Sr Sánchez, ¡deje ya la propaganda y comience a gobernar para los españoles!

<U+2705> VOX seguirá defendiendo los intereses de los españoles, en las instituciones, en las redes y en la calle.

<U+0001F4E2> La censura no nos callará, #VOXEsImparable https://t.co/xjO1N3GcZU"
"41","Los españoles defenderán su libertad y su soberanía frente a la dictadura digital de las multinacionales.

Un puñado de empresas extranjeras no someterán a millones de ciudadanos libres.

Los españoles son imparables y hemos venido a representarlos.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/EwsPRCPAPI"
"42","La oligarquía tecnológica no nos va a parar 

Defenderemos la soberanía nacional y la integridad de nuestras fronteras 

#voxesimparable https://t.co/ke7c1dFYqp"
"43","¡La Libertad no se añora, se defiende y se conquista!

Difunde nuestro mensaje de vecino a vecino, de barrio a barrio.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/DU0fjvwIye"
"44","Progres de Castellana 81, no os creáis tan poderosos.

#VOXEsImparable y somos muy eficaces a la hora de defender a los españoles<U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/FZeEWhLad2"
"45","<U+0001F3DB> Como adelantó @Macarena_Olona, @VOX_Congreso presentará una Proposición de Ley para prohibir y sancionar a las grandes empresas tecnológicas que se salten el ordenamiento jurídico español y censuren a los españoles.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8>

https://t.co/JfjAbut0xe"
"46","<U+2696> Hemos presentado una querella contra @TwitterEspana y @NathaliePicquot no solo para defender nuestros derechos, también para proteger la libertad de millones de españoles que sufren la censura de las oligarquías tecnológicas. 

https://t.co/f2JYpzuk1y 

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8>"
"47","Lo que ocurre en Canarias es una INVASIÓN.

Lo que están haciendo las ONG en el Mediterráneo es TRÁFICO.

Los más de 120 delitos en 80 días relacionados con los ilegales llegados al archipiélago canario es DELINCUENCIA IMPORTADA.

¡No nos vais a callar! #VOXEsImparable <U+0001F4AA><U+0001F3FB><U+0001F1EA><U+0001F1F8> https://t.co/jnzI6vvN0z"
"48","Las oligarquías tecnológicas al servicio de los globalistas nos han censurado durante 7 días en @vox_es.

Seguiremos defendiendo a los españoles, y denunciando la violencia y la inseguridad en las calles provocado por la inmigración masiva e ilegal.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/N4lYqK23Qg"
"49","A pesar de las zancadillas que nos ponen a diario, el trabajo y el esfuerzo de tantos buenos hombres y mujeres que nos rodean en nuestro día a día hace que estemos seguros de que
#VOXEsImparable <U+0001F4AA><U+0001F4AA><U+0001F4AA> https://t.co/7e3Wsb8g9l"
"50","<U+0001F534> La cuenta oficial de @vox_es vuelve a Twitter tras el bloqueo arbitrario de 7 días.

<U+0001F910> Los gigantes tecnológicos intentan amordazarnos e interferir en nuestra campaña, pero les va a salir mal. Los españoles van a dar una lección a estas oligarquías.

<U+0001F4E2> #VOXEsImparable <U+0001F4AA><U+0001F4AA><U+0001F4AA> https://t.co/GeKTLMtjat"
"51","<U+0001F4E2> ¡@vox_es ha vuelto! 

<U+274C> Las oligarquías tecnológicas NO podrán silenciarnos.

#VOXesImparable <U+0001F4AA><U+0001F3FB><U+0001F1EA><U+0001F1F8> https://t.co/yhDKp6RJRo"
"52","¡Que les quede claro! Ninguna oligarquía tecnológica podrá silenciar a @vox_es.

Jamás dejaremos de defender los intereses generales de los españoles. #VOXEsImparable <U+0001F4AA><U+0001F3FB><U+0001F1EA><U+0001F1F8> https://t.co/eLhYcOCrep"
"53","Frente a su odio, nuestro amor por Cataluña.

VOX también es imparable en Barcelona, en Gerona, en Tarragona y en Lérida.

#VOXEsImparable y este 14 de febrero será la voz de los catalanes olvidados y perseguidos <U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/xtBWcYv7qw"
"54","Progres de Castellana 81, no os creáis tan poderosos.

#VOXEsImparable y somos muy eficaces a la hora de defender a los españoles<U+0001F4AA><U+0001F1EA><U+0001F1F8> https://t.co/FZeEWhLad2"
"55","<U+0001F3DB> Como adelantó @Macarena_Olona, @VOX_Congreso presentará una Proposición de Ley para prohibir y sancionar a las grandes empresas tecnológicas que se salten el ordenamiento jurídico español y censuren a los españoles.

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8>

https://t.co/JfjAbut0xe"
"56","<U+2696> Hemos presentado una querella contra @TwitterEspana y @NathaliePicquot no solo para defender nuestros derechos, también para proteger la libertad de millones de españoles que sufren la censura de las oligarquías tecnológicas. 

https://t.co/f2JYpzuk1y 

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8>"
"57","<U+203C> VOX regresa a Twitter después de un arresto injustificado de 7 días.

¿Por qué @TwitterEspana censura al 3º partido de España en plena campaña electoral?

Continuaremos pensando lo mismo y seguiremos defendiendo los intereses de los españoles 

#VOXEsImparable <U+0001F4AA><U+0001F1EA><U+0001F1F8>

<U+2B07> HILO <U+2B07> https://t.co/erpr06iix5"
"58","<U+0001F633> Hoy hemos podido escuchar a Errejón y Rufián defender la soberanía del pueblo español por encima de los intereses de las multinacionales o de la UE:

<U+0001F449> @ivanedlm ""Tengan ustedes cuidado que por ese camino se acaba en VOX y no sé si sabríamos cómo gestionarlo"" <U+0001F602>

<U+2B07> HILO <U+2B07> https://t.co/sugEkXJ2yC"
"59","#ÚLTIMAHORA | Los hosteleros están hartos de la ruinosa gestión de @ximopuig y piden su dimisión. Con una cacerolada en la puerta del Palau de la Generalitat Valenciana.

A cero ingresos, cero impuestos. 

#ElBotànicEsMiseria https://t.co/7RGv2lGDhV"
"60","A la Ministra de Vanity Fair no le parece suficiente castigar a los vecinos de los barrios obreros obligándoles a convivir con menas, okupas o traficantes.

Ahora también se atreve a escupirles tachándolos de violentos y maltratadores. https://t.co/ub2zemBFaP"
"61","Son incapaces de gestionar nada excepto la ruina y la miseria #ElBotanicEsMiseria https://t.co/JOX2fI3I27"
